GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.persistent.audit.crypto,PayloadMerkleHasher,14,473,3,67,4,114,3,51,0,19
,com.persistent.audit.model,Event,0,40,0,4,0,15,0,4,0,2
,com.persistent.audit.model,EventStatus,0,15,0,0,0,3,0,1,0,1
,com.persistent.audit.model,EventCreateResponseObject,0,18,0,0,0,8,0,1,0,1
,com.persistent.audit.controller,AuditLogsController,0,386,0,16,0,63,0,18,0,10
,com.persistent.audit.util,PaginationUtils,0,23,0,0,0,3,0,2,0,2
,com.persistent.audit.exceptions,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
,com.persistent.audit.exceptions,JwtAuthenticationException,0,9,0,0,0,4,0,2,0,2
,com.persistent.audit.exceptions,RequestTooLargeException,0,4,0,0,0,2,0,1,0,1
,com.persistent.audit.exceptions,AuditExceptionHandler,0,163,0,10,0,36,0,21,0,16
,com.persistent.audit.exceptions,AccessForbiddenException,0,4,0,0,0,2,0,1,0,1
,com.persistent.audit.exceptions,TooManyRequestsException,0,4,0,0,0,2,0,1,0,1
,com.persistent.audit.exceptions,ApiErrorResponse,0,28,0,2,0,6,0,2,0,1
,com.persistent.audit,AuditApplication,0,8,0,0,0,3,0,2,0,2
,com.persistent.audit.security,RequestSizeLimitFilter,0,31,0,2,0,11,0,3,0,2
,com.persistent.audit.security,SecurityConfig,0,265,0,0,0,43,0,13,0,13
,com.persistent.audit.security,JwtService,0,189,1,19,0,45,1,15,0,6
,com.persistent.audit.security,LoginRateLimiter.AttemptState,0,9,0,0,0,4,0,1,0,1
,com.persistent.audit.security,JwtAuthenticationFilter,0,141,0,16,0,38,0,14,0,6
,com.persistent.audit.security,AuditUserPrincipal,0,52,0,2,0,14,0,12,0,11
,com.persistent.audit.security,AuditUserDetailsService,0,23,0,0,0,6,0,3,0,3
,com.persistent.audit.security,LoginRateLimiter,0,135,0,14,0,28,0,13,0,6
,com.persistent.audit.config,TimeConfig,0,5,0,0,0,2,0,2,0,2
,com.persistent.audit.service,EventService,0,735,0,60,0,152,0,49,0,19
,com.persistent.audit.service,UserService,0,134,0,16,0,33,0,12,0,4
